time,hwi,source,warning_level
1950-01-01,0.0,observations,yellow
1951-01-01,5.0,observations,yellow
1952-01-01,2.0,observations,yellow
1953-01-01,4.0,observations,yellow
1954-01-01,5.0,observations,yellow
1955-01-01,5.0,observations,yellow
1956-01-01,4.0,observations,yellow
1957-01-01,2.0,observations,yellow
1958-01-01,3.0,observations,yellow
1959-01-01,17.0,observations,yellow
1960-01-01,2.0,observations,yellow
1961-01-01,1.0,observations,yellow
1962-01-01,0.0,observations,yellow
1963-01-01,13.0,observations,yellow
1964-01-01,3.0,observations,yellow
1965-01-01,0.0,observations,yellow
1966-01-01,3.0,observations,yellow
1967-01-01,2.0,observations,yellow
1968-01-01,9.0,observations,yellow
1969-01-01,3.0,observations,yellow
1970-01-01,1.0,observations,yellow
1971-01-01,10.0,observations,yellow
1972-01-01,12.0,observations,yellow
1973-01-01,8.0,observations,yellow
1974-01-01,0.0,observations,yellow
1975-01-01,6.0,observations,yellow
1976-01-01,3.0,observations,yellow
1977-01-01,5.0,observations,yellow
1978-01-01,2.0,observations,yellow
1979-01-01,3.0,observations,yellow
1980-01-01,2.0,observations,yellow
1981-01-01,4.0,observations,yellow
1982-01-01,5.0,observations,yellow
1983-01-01,8.0,observations,yellow
1984-01-01,4.0,observations,yellow
1985-01-01,2.0,observations,yellow
1986-01-01,5.0,observations,yellow
1987-01-01,0.0,observations,yellow
1988-01-01,5.0,observations,yellow
1989-01-01,5.0,observations,yellow
1990-01-01,0.0,observations,yellow
1991-01-01,5.0,observations,yellow
1992-01-01,9.0,observations,yellow
1993-01-01,0.0,observations,yellow
1994-01-01,17.0,observations,yellow
1995-01-01,7.0,observations,yellow
1996-01-01,3.0,observations,yellow
1997-01-01,11.0,observations,yellow
1998-01-01,2.0,observations,yellow
1999-01-01,11.0,observations,yellow
2000-01-01,1.0,observations,yellow
2001-01-01,9.0,observations,yellow
2002-01-01,17.0,observations,yellow
2003-01-01,13.0,observations,yellow
2004-01-01,3.0,observations,yellow
2005-01-01,4.0,observations,yellow
2006-01-01,14.0,observations,yellow
2007-01-01,10.0,observations,yellow
2008-01-01,2.0,observations,yellow
2009-01-01,1.0,observations,yellow
2010-01-01,24.0,observations,yellow
2011-01-01,13.0,observations,yellow
2012-01-01,6.0,observations,yellow
2013-01-01,9.0,observations,yellow
2014-01-01,19.0,observations,yellow
1950-01-01,0.0,observations,orange
1951-01-01,0.0,observations,orange
1952-01-01,0.0,observations,orange
1953-01-01,0.0,observations,orange
1954-01-01,0.0,observations,orange
1955-01-01,0.0,observations,orange
1956-01-01,0.0,observations,orange
1957-01-01,0.0,observations,orange
1958-01-01,0.0,observations,orange
1959-01-01,0.0,observations,orange
1960-01-01,0.0,observations,orange
1961-01-01,0.0,observations,orange
1962-01-01,0.0,observations,orange
1963-01-01,2.0,observations,orange
1964-01-01,0.0,observations,orange
1965-01-01,0.0,observations,orange
1966-01-01,0.0,observations,orange
1967-01-01,0.0,observations,orange
1968-01-01,0.0,observations,orange
1969-01-01,0.0,observations,orange
1970-01-01,0.0,observations,orange
1971-01-01,0.0,observations,orange
1972-01-01,0.0,observations,orange
1973-01-01,0.0,observations,orange
1974-01-01,0.0,observations,orange
1975-01-01,0.0,observations,orange
1976-01-01,0.0,observations,orange
1977-01-01,0.0,observations,orange
1978-01-01,0.0,observations,orange
1979-01-01,0.0,observations,orange
1980-01-01,0.0,observations,orange
1981-01-01,0.0,observations,orange
1982-01-01,0.0,observations,orange
1983-01-01,0.0,observations,orange
1984-01-01,0.0,observations,orange
1985-01-01,0.0,observations,orange
1986-01-01,0.0,observations,orange
1987-01-01,0.0,observations,orange
1988-01-01,0.0,observations,orange
1989-01-01,0.0,observations,orange
1990-01-01,0.0,observations,orange
1991-01-01,0.0,observations,orange
1992-01-01,1.0,observations,orange
1993-01-01,0.0,observations,orange
1994-01-01,4.0,observations,orange
1995-01-01,0.0,observations,orange
1996-01-01,0.0,observations,orange
1997-01-01,0.0,observations,orange
1998-01-01,0.0,observations,orange
1999-01-01,0.0,observations,orange
